,keys,Actual TOW,Estimated TOW,Difference
2965,MN_1134_BOS_3,53808.0,0.0,53808.0
2966,MN_1992_IAD_3,52861.0,0.0,52861.0
2967,MN_1506_DUB_4,43294.0,0.0,43294.0
2968,MN_1440_DUB_4,43294.0,0.0,43294.0
2969,MN_1450_DUB_4,43294.0,0.0,43294.0
2970,MN_1202_DUB_4,43294.0,0.0,43294.0
2971,MN_1262_DUB_4,43294.0,0.0,43294.0
2972,MN_1402_DUB_4,44794.0,0.0,44794.0
2973,MN_1592_DUB_4,43294.0,0.0,43294.0
2974,MN_1602_DUB_4,43455.0,0.0,43455.0
2975,MN_1680_DUB_4,43294.0,0.0,43294.0
2976,MN_1152_DUB_4,44617.0,0.0,44617.0
2977,MN_1332_DUB_4,43294.0,0.0,43294.0
2978,MN_1520_DUB_4,43294.0,0.0,43294.0
2979,MN_1562_DUB_4,43625.0,0.0,43625.0
2980,MN_1692_DUB_4,43294.0,0.0,43294.0
2981,MN_4250_DUB_4,43294.0,0.0,43294.0
2982,MN_1342_DUB_4,43472.0,0.0,43472.0
2983,MN_1352_DUB_4,53719.0,0.0,53719.0
2984,MN_1432_DUB_4,143294.0,0.0,143294.0
2985,MN_1630_DUB_4,43471.0,0.0,43471.0
2986,MN_1650_DUB_4,43294.0,0.0,43294.0
2987,MN_1762_DUB_4,43294.0,0.0,43294.0
2988,MN_1776_DUB_4,43294.0,0.0,43294.0
2989,MN_1476_DUB_4,43294.0,0.0,43294.0
2990,MN_1550_DUB_4,43294.0,0.0,43294.0
